
2023/11/19 (14:32:50) | ===> btop++ v.1.2.13
2023/11/19 (14:32:50) | WARNING: Failed to get disk/partition stats with statvfs() for: /private/tmp/16777234@231119141501
2023/11/20 (22:36:25) | ERROR: Stall in Runner thread, restarting!
2023/11/20 (22:36:30) | ERROR: Stall in Runner thread, restarting!
2023/11/20 (22:36:36) | ERROR: Stall in Runner thread, restarting!
2023/11/20 (22:36:41) | ERROR: Stall in Runner thread, restarting!
2023/11/20 (22:36:47) | ERROR: Stall in Runner thread, restarting!
2023/11/20 (22:36:53) | ERROR: Stall in Runner thread, restarting!
2023/11/20 (22:36:58) | ERROR: Stall in Runner thread, restarting!

2023/12/13 (10:03:40) | ===> btop++ v.1.2.13
2023/12/13 (10:03:40) | ERROR: Stall in Runner thread, restarting!
2023/12/13 (10:03:46) | ERROR: Stall in Runner thread, restarting!
2023/12/13 (10:03:51) | ERROR: Stall in Runner thread, restarting!
2023/12/13 (10:03:57) | ERROR: Stall in Runner thread, restarting!
2023/12/13 (10:04:02) | ERROR: Stall in Runner thread, restarting!
2023/12/13 (10:04:08) | ERROR: Stall in Runner thread, restarting!
2023/12/13 (10:04:14) | ERROR: Stall in Runner thread, restarting!
2023/12/13 (10:04:19) | ERROR: Stall in Runner thread, restarting!
2023/12/13 (10:04:25) | ERROR: Stall in Runner thread, restarting!
2023/12/13 (10:04:30) | ERROR: Stall in Runner thread, restarting!
2023/12/13 (10:04:36) | ERROR: Stall in Runner thread, restarting!
2023/12/13 (10:04:41) | ERROR: Stall in Runner thread, restarting!
2023/12/13 (10:04:47) | ERROR: Stall in Runner thread, restarting!
2023/12/13 (10:04:53) | ERROR: Stall in Runner thread, restarting!
2023/12/13 (10:04:58) | ERROR: Stall in Runner thread, restarting!
2023/12/13 (10:05:04) | ERROR: Stall in Runner thread, restarting!
2023/12/13 (10:05:09) | ERROR: Stall in Runner thread, restarting!
2023/12/13 (10:05:15) | ERROR: Stall in Runner thread, restarting!
2023/12/13 (10:05:21) | ERROR: Stall in Runner thread, restarting!
2023/12/13 (10:05:26) | ERROR: Stall in Runner thread, restarting!
2023/12/13 (10:05:32) | ERROR: Stall in Runner thread, restarting!
2023/12/13 (10:05:37) | ERROR: Stall in Runner thread, restarting!
2023/12/13 (10:05:43) | ERROR: Stall in Runner thread, restarting!
2023/12/13 (10:05:49) | ERROR: Stall in Runner thread, restarting!
2023/12/13 (10:05:54) | ERROR: Stall in Runner thread, restarting!
2023/12/13 (10:06:00) | ERROR: Stall in Runner thread, restarting!

2024/01/04 (23:12:40) | ===> btop++ v.1.2.13
2024/01/04 (23:12:40) | ERROR: Stall in Runner thread, restarting!

2024/01/15 (00:17:27) | ===> btop++ v.1.2.13
2024/01/15 (00:17:27) | ERROR: Stall in Runner thread, restarting!
2024/01/15 (00:17:33) | ERROR: Stall in Runner thread, restarting!
2024/01/15 (00:17:39) | ERROR: Stall in Runner thread, restarting!
2024/01/15 (00:17:45) | ERROR: Stall in Runner thread, restarting!
2024/01/15 (00:17:52) | ERROR: Stall in Runner thread, restarting!

2024/01/15 (08:59:00) | ===> btop++ v.1.2.13
2024/01/15 (08:59:00) | ERROR: Stall in Runner thread, restarting!
2024/01/15 (08:59:06) | ERROR: Stall in Runner thread, restarting!
2024/01/15 (08:59:12) | ERROR: Stall in Runner thread, restarting!
2024/01/15 (08:59:18) | ERROR: Stall in Runner thread, restarting!
2024/01/15 (08:59:25) | ERROR: Stall in Runner thread, restarting!
2024/01/15 (08:59:31) | ERROR: Stall in Runner thread, restarting!
2024/01/15 (08:59:37) | ERROR: Stall in Runner thread, restarting!
2024/01/15 (08:59:43) | ERROR: Stall in Runner thread, restarting!
2024/01/15 (08:59:49) | ERROR: Stall in Runner thread, restarting!
2024/01/15 (08:59:56) | ERROR: Stall in Runner thread, restarting!
